loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_hamming_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7308,2.2133030891418457,2.1975582685904552e-07,0.11098779134295228,100,,,,,,,,,,,,,,
0.6939,1.9432334899902344,4.417314095449501e-07,0.22197558268590456,200,,,,,,,,,,,,,,
0.614,2.3165364265441895,6.637069922308546e-07,0.33296337402885684,300,,,,,,,,,,,,,,
0.5061,1.5997490882873535,8.856825749167593e-07,0.4439511653718091,400,,,,,,,,,,,,,,
0.4123,1.2716261148452759,1.1076581576026637e-06,0.5549389567147613,500,,,,,,,,,,,,,,
0.3866,0.9473654627799988,1.3296337402885684e-06,0.6659267480577137,600,,,,,,,,,,,,,,
0.3701,3.445988178253174,1.5516093229744731e-06,0.7769145394006659,700,,,,,,,,,,,,,,
0.3525,1.6274538040161133,1.7735849056603774e-06,0.8879023307436182,800,,,,,,,,,,,,,,
0.3404,2.5165317058563232,1.995560488346282e-06,0.9988901220865705,900,,,,,,,,,,,,,,
,,,1.0,901,0.3249606192111969,0.09198113207547169,0.23389172147059994,0.4396866674379798,0.19883746858770263,0.12203004891684137,14.7949,85.976,10.747,,,,,
0.3174,1.9148621559143066,2.217536071032187e-06,1.1098779134295227,1000,,,,,,,,,,,,,,
0.3012,1.5840657949447632,2.439511653718091e-06,1.220865704772475,1100,,,,,,,,,,,,,,
0.2863,2.6648776531219482,2.6614872364039955e-06,1.3318534961154274,1200,,,,,,,,,,,,,,
0.2809,1.8588190078735352,2.8834628190899006e-06,1.4428412874583796,1300,,,,,,,,,,,,,,
0.2764,3.054445743560791,3.105438401775805e-06,1.5538290788013318,1400,,,,,,,,,,,,,,
0.2603,2.79929780960083,3.327413984461709e-06,1.6648168701442843,1500,,,,,,,,,,,,,,
0.2608,3.1323301792144775,3.5493895671476143e-06,1.7758046614872365,1600,,,,,,,,,,,,,,
